"Index","Probe_Id","Symbol"
"246","ILMN_2337492","RCE1"
"247","ILMN_1663657","LOC650853"
"248","ILMN_1910028",""
"249","ILMN_1668914","C14orf48"
"250","ILMN_1819331",""
"251","ILMN_1825085",""
"252","ILMN_1826165",""
"253","ILMN_1674201","LOC441511"
"254","ILMN_2357770","TCEA1"
"255","ILMN_1751607","FOSB"
"256","ILMN_1899012",""
"257","ILMN_1785462","LOC390387"
"258","ILMN_1810069","CCNYL1"
"259","ILMN_2166524","CCNYL1"
"260","ILMN_1718542","LOC643430"
"261","ILMN_1819410",""
"262","ILMN_2095789","ZNF678"
"263","ILMN_1706960","KIAA1217"
"264","ILMN_1851729",""
"265","ILMN_1858084",""
"266","ILMN_1879823",""
"267","ILMN_2135527","DEPDC4"
"268","ILMN_1773301","LOC650268"
"269","ILMN_1700316","LOC440055"
"270","ILMN_1682520","LOC645293"
"271","ILMN_1655922","SAPS2"
"272","ILMN_2311761","AP3S1"
"273","ILMN_1711269","ASB5"
"274","ILMN_2126055","ASB5"
"275","ILMN_1662792","LOC653366"
"276","ILMN_1716579","LOC641841"
"277","ILMN_1811592","ARHGAP21"
"278","ILMN_1688034","COIL"
"279","ILMN_1690035","FLYWCH1"
"280","ILMN_1678390","LOC653468"
"281","ILMN_2215640","TUBA3D"
"282","ILMN_2215639","TUBA3D"
"283","ILMN_1752213","TMEM60"
"284","ILMN_1898216",""
"285","ILMN_1695246","KLHDC8B"
"286","ILMN_1738589","MGLL"
"287","ILMN_1657708","MGLL"
"288","ILMN_1681076","LOC441119"
"289","ILMN_1820820",""
"290","ILMN_1708890","RASSF4"
"291","ILMN_1690566","RASSF4"
"292","ILMN_1728301","GAD2"
"293","ILMN_1860100",""
"294","ILMN_1813131","LOC643431"
"295","ILMN_1653077","LOC650549"
"296","ILMN_1731397","STMN4"
"297","ILMN_1759870","LOC653066"
"298","ILMN_1744887","RLN2"
"299","ILMN_1775646","L3MBTL4"
"300","ILMN_2396903","KCNJ15"
"301","ILMN_1661939","SGSM1"
"302","ILMN_1762207","SGSM1"
"303","ILMN_1862169",""
"304","ILMN_1812474","TFG"
"305","ILMN_1747192","RNF125"
"306","ILMN_2260833","CCNB1IP1"
"307","ILMN_2347349","CCNB1IP1"
"308","ILMN_1654732","OSR2"
"309","ILMN_1737715","OSR2"
"310","ILMN_1834933",""
"311","ILMN_2389528","MTL5"
"312","ILMN_1893179",""
"313","ILMN_1793950","P704P"
"314","ILMN_1785297","RAB19"
"315","ILMN_1801776","PSG9"
"316","ILMN_1840508",""
"317","ILMN_1669281","CLN3"
"318","ILMN_1672961","LOC652624"
"319","ILMN_1891067",""
"320","ILMN_1699520","SLC8A1"
"321","ILMN_1758392","ANKS1B"
"322","ILMN_1723113","WFDC13"
"323","ILMN_1720255","LOC642072"
"324","ILMN_1668847","WWP2"
"325","ILMN_1777340","DDX6"
"326","ILMN_1898596",""
"327","ILMN_1853152",""
"328","ILMN_1797281","LOC727851"
"329","ILMN_1672600","LOC651401"
"330","ILMN_1652940","MGC16703"
"331","ILMN_1785202","STAT4"
"332","ILMN_1696468","LOC644544"
"333","ILMN_1851396",""
"334","ILMN_1846200",""
"335","ILMN_1802702","C10orf91"
"336","ILMN_1884041",""
"337","ILMN_1859725",""
"338","ILMN_1822495",""
"339","ILMN_1880280",""
"340","ILMN_1697872","C21orf121"
"341","ILMN_2403458","SMARCB1"
"342","ILMN_1758823","SMARCB1"
"343","ILMN_1656882","LOC390712"
"344","ILMN_1689004","TNFRSF12A"
"345","ILMN_1710280","TUBB1"
"346","ILMN_2157843","ZNF829"
"347","ILMN_1718259","ZNF829"
"348","ILMN_1712605","ZNF829"
"349","ILMN_2170625","LOC389286"
"350","ILMN_1669826","LUZP5"
"351","ILMN_2233279","C19orf31"
"352","ILMN_1782782","C19orf31"
"353","ILMN_1764754","RAMP1"
"354","ILMN_1875735",""
"355","ILMN_1719344","LOC730820"
"356","ILMN_1685763","WDR45L"
"357","ILMN_1688413","SNW1"
"358","ILMN_1694502","PRIM1"
"359","ILMN_2067708","TFB2M"
"360","ILMN_2067709","TFB2M"
"361","ILMN_1661078","LOC644844"
"362","ILMN_1907648",""
"363","ILMN_1803528","LRRC31"
"364","ILMN_1703425","LOC642918"
"365","ILMN_1662306","RABL3"
"366","ILMN_2221769","PRAMEF4"
"367","ILMN_2221768","PRAMEF4"
"368","ILMN_1828491",""
"369","ILMN_1753729","KNG1"
"370","ILMN_1900248",""
"371","ILMN_1888546",""
"372","ILMN_1714586","VGLL3"
"373","ILMN_1696087","PHB2"
"374","ILMN_1811387","TFF3"
"375","ILMN_1665696","EFNA4"
