Index, Probe_Id, Symbol
371, 197713, 'TEAD3'
372, 167007, ''
373, 109122, 'SAMHD1'
374, 153865, 'FMO3'
375, 198631, ''
376, 214094, 'RPL23A'
377, 124799, 'PRKCB1'
378, 191785, ''
379, 206714, 'FLJ14442'
380, 158699, 'STAT4'
381, 177880, 'NR5A2'
382, 161840, ''
383, 615903, ''
384, 102709, 'BLMH'
385, 10631704, ''
386, 226421, 'ZNF439'
387, 166541, ''
388, 121056, ''
389, 201672, ''
390, 184463, 'ZNF467'
391, 112193, 'MGC45780'
392, 174449, ''
393, 145360, 'KCNJ6'
394, 199042, 'GGTL4,GGT2,GGT1'
395, 205035, 'STIM2'
396, 103239, 'PPP2R2B'
397, 208538, 'SCN4A'
398, 200193, 'NDUFA8'
399, 224478, 'ARHGEF7'
400, 218761, ''
401, 213083, ''
402, 164685, 'DDX51'
403, 228683, ''
404, 234839, ''
405, 208153, 'AMY2B'
406, 133431, 'TFE3'
407, 10646291, ''
408, 225389, ''
409, 101754, 'TM9SF4'
410, 168386, 'FLJ45273'
411, 223149, 'KIAA0774'
412, 170467, 'SNAPAP'
413, 177135, ''
414, 106362, 'SMAD9'
415, 701442, ''
416, 134456, ''
417, 156558, ''
418, 217804, 'FLJ38377'
419, 231129, ''
420, 201125, 'REPIN1'
421, 107627, ''
422, 177899, ''
423, 182329, 'SSBP2'
424, 716176, ''
425, 160791, 'FER'
426, 213366, ''
427, 203566, 'ANKRD17'
428, 673477, ''
429, 118255, 'AYP1'
430, 234191, ''
431, 150817, 'C16orf34'
432, 105075, ''
433, 175499, 'ACY1L2'
434, 233305, ''
435, 543698, ''
436, 114921, ''
437, 125930, 'CRI2'
438, 134371, ''
439, 702228, 'SAMD7'
440, 229340, ''
441, 177655, 'MGST3'
442, 218682, ''
443, 109718, 'ZNF596'
444, 133231, ''
445, 213878, 'HEL308'
446, 180472, 'LOC128153'
447, 142657, 'GDI1'
448, 217898, ''
449, 179792, ''
450, 106202, 'UXS1'
451, 179515, ''
452, 130638, ''
453, 171594, ''
454, 124041, ''
455, 235552, ''
456, 141772, ''
457, 262677, ''
458, 158840, ''
459, 201523, 'CAST'
460, 212239, ''
461, 173482, 'SALL2'
462, 169116, 'KLK2'
463, 173145, ''
464, 150785, 'PRKACG'
465, 153082, 'LHX1'
466, 138121, 'C1D'
467, 229050, ''
468, 163409, ''
469, 187395, 'MIST'
470, 105346, 'HIST1H2BO'
471, 197351, 'CXorf53'
472, 124872, ''
473, 666389, ''
474, 111674, ''
475, 202177, 'HADHB'
476, 248285, ''
477, 112856, ''
478, 117856, 'TSTA3'
479, 199093, ''
480, 192337, 'AMACR'
481, 121927, ''
482, 107836, ''
483, 204743, 'ID1'
484, 235218, ''
485, 194856, 'FLJ40365'
486, 235040, ''
487, 111918, 'SFTPB'
488, 178862, ''
489, 167077, 'GABPA'
490, 231716, ''
491, 166505, 'PF6'
492, 228351, ''
493, 132194, 'ITGA6'
494, 181732, 'TNFSF4'
495, 205052, ''
496, 117048, 'MRPL11'
497, 199502, 'KIAA1826'
498, 195445, 'DPT'
499, 218926, ''
500, 159805, 'TIAM1'
501, 107802, 'C9orf116'
502, 113113, 'TCF7L2'
503, 234273, 'OR13A1'
504, 139386, 'KIAA0934'
505, 130826, 'CXorf36'
506, 233386, ''
507, 184825, ''
508, 233141, ''
509, 184855, 'EXOC7'
510, 121345, 'FLJ39660'
511, 162961, 'MYO10'
512, 234198, ''
513, 213439, 'WDR11'
514, 114790, ''
515, 128620, 'MTF1'
516, 205322, ''
517, 168565, 'CARF'
518, 172568, 'L3MBTL4'
519, 104207, 'PHF20'
520, 190517, 'GRINL1A'
521, 132348, 'FLJ10385'
522, 210498, 'CGN'
523, 138098, 'FLJ14627'
524, 109667, ''
525, 156792, 'MELK'
526, 203360, 'GBGT1'
527, 174376, 'MAP1LC3A'
528, 195083, ''
529, 114873, ''
530, 129851, 'MGC52498'
